lr-Adam,step,train_base,val_base
,49,7.75721549987793,
2.5e-06,492150,,
,50,,7.840658664703369
,50,7.744236946105957,
2.5e-06,501993,,
,51,,7.845497131347656
,51,7.731257438659668,
2.5e-06,511836,,
,52,,7.848086833953857
,52,7.7205328941345215,
2.5e-06,521679,,
,53,,7.8192901611328125
,53,7.708174705505371,
2.5e-06,531522,,
,54,,7.779868125915527
,54,7.698678493499756,
2.5e-06,541365,,
,55,,7.783359050750732
,55,7.683123588562012,
2.5e-06,551208,,
,56,,7.764654159545898
,56,7.6754045486450195,
2.5e-06,561051,,
,57,,7.761011123657227
,57,7.662381649017334,
2.5e-06,570894,,
,58,,7.748286724090576
,58,7.652527332305908,
2.5e-06,580737,,
,59,,7.801217079162598
,59,7.63915491104126,
1.25e-06,590580,,
,60,,7.736921787261963
,60,7.617384910583496,
1.25e-06,600423,,
,61,,7.719223976135254
,61,7.611645221710205,
1.25e-06,610266,,
,62,,7.712421417236328
,62,7.606954097747803,
1.25e-06,620109,,
,63,,7.722941875457764
,63,7.59984016418457,
1.25e-06,629952,,
,64,,7.71354341506958
,64,7.595307350158691,
1.25e-06,639795,,
,65,,7.7065253257751465
,65,7.589059829711914,
1.25e-06,649638,,
,66,,7.719601631164551
,66,7.585546016693115,
1.25e-06,659481,,
,67,,7.696978569030762
,67,7.581414222717285,
1.25e-06,669324,,
,68,,7.686025619506836
,68,7.575113773345947,
1.25e-06,679167,,
,69,,7.674358367919922
,69,7.569922924041748,
1.25e-06,689010,,
,70,,7.68073034286499
,70,7.564518451690674,
1.25e-06,698853,,
,71,,7.669363975524902
,71,7.5585551261901855,
1.25e-06,708696,,
,72,,7.670804500579834
,72,7.553091526031494,
1.25e-06,718539,,
,73,,7.688868999481201
,73,7.549492835998535,
1.25e-06,728382,,
,74,,7.664133071899414
,74,7.542910575866699,
1.25e-06,738225,,
,75,,7.6513671875
,75,7.538071155548096,
1.25e-06,748068,,
,76,,7.653864860534668
,76,7.533323287963867,
1.25e-06,757911,,
,77,,7.659941673278809
,77,7.529051303863525,
1.25e-06,767754,,
,78,,7.649224758148193
,78,7.5257954597473145,
1.25e-06,777597,,
,79,,7.6417107582092285
,79,7.518289566040039,
6.25e-07,787440,,
,80,,7.6328277587890625
,80,7.5066728591918945,
6.25e-07,797283,,
,81,,7.628330707550049
,81,7.505580425262451,
6.25e-07,807126,,
,82,,7.633609294891357
,82,7.503917694091797,
6.25e-07,816969,,
,83,,7.6279473304748535
,83,7.5006842613220215,
6.25e-07,826812,,
,84,,7.623501300811768
,84,7.500014305114746,
6.25e-07,836655,,
,85,,7.622445583343506
,85,7.495591640472412,
6.25e-07,846498,,
,86,,7.622434139251709
,86,7.49515438079834,
6.25e-07,856341,,
,87,,7.620254993438721
,87,7.490406513214111,
6.25e-07,866184,,
,88,,7.615007400512695
,88,7.488687992095947,
6.25e-07,876027,,
,89,,7.611945629119873
,89,7.4865403175354,
6.25e-07,885870,,
,90,,7.6145710945129395
,90,7.48510217666626,
6.25e-07,895713,,
,91,,7.60781192779541
,91,7.481870651245117,
6.25e-07,905556,,
